Name,Profession,Degree,Field,Institution,Graduation Year,Country,University Global Ranking,GPA (or Equivalent),Scholarship/Award
Elon Musk,Entrepreneur,Bachelor of Science,Physics & Economics,University of Pennsylvania,1997,USA,13,3.7,Dean’s List
Bill Gates,Entrepreneur,Dropped Out,computer science,Harvard University,1975,USA,5,N/A,Dean’s List
Sundar Pichai,Tech Executive,Master of Science,Material Sciences and Engineering,Stanford University,1995,USA,3,3.8,Fellowship in Engineering
Sheryl Sandberg,Tech Executive,Master of Business Administration,Business Administration,Harvard Business School,1995,USA,2,3.9,Hoover Fellowship
Jeff Bezos,Entrepreneur,Bachelor of Science,Computer Science and Electrical Engineering,Princeton University,1986,USA,16,3.6,Marquis Scholar
Indra Nooyi,Business Leader,Master of Business Administration,Management,Yale School of Management,1980,USA,11,3.7,Scholarship Winner
Oprah Winfrey,Media Executive,Honorary Doctorate,speech communications and performing arts,Tennessee State University,1987,USA,N/A,N/A,Honorary Award
Satya Nadella,Tech Executive,Master of Science,Computer Science,University of Wisconsin–Milwaukee,1990,USA,301–350,3.5,Academic Excellence Award
Malala Yousafzai,Activist,Undergraduate Studies,Philosophy,University of Oxford,2021,UK,4,N/A,Nobel Peace Prize
Mark Zuckerberg,Entrepreneur,Dropped Out,computer science and psychology,Harvard University,N/A,USA,5,N/A,N/A
Marie Curie,Scientist,Doctor of Philosophy,Physics,University of Paris,1903,France,35,N/A,Nobel Fellowship
Barack Obama,Politician,Juris Doctor,Law,Harvard Law School,1991,USA,2,3.1,Harvard Law Review Editor
Tim Cook,Tech Executive,Master of Business Administration,Business Administration,Fuqua School of Business (Duke University),1988,USA,26,3.8,Fuqua Scholar
Serena Williams,Athlete,Bachelor of Science,Business Administration,University of California,2021,USA,40,3.6,Student-Athlete Academic Award
Sergey Brin,Entrepreneur,Master of Science,Computer Science,Stanford University,1995,USA,3,3.9,National Science Foundation Fellowship
Larry Page,Entrepreneur,Master of Science,Computer Engineering,Stanford University,1995,USA,3,3.9,NSF Graduate Fellowship
Angela Merkel,Politician,Doctor of Philosophy,Physical Chemistry,University of Leipzig,1986,Germany,231–240,N/A,DAAD Scholarship
Malcolm Gladwell,Author,Master of Arts,Sociology,University of Toronto,1987,Canada,26,3.7,Trudeau Foundation Scholar
Emma Watson,Actor,Bachelor of Arts,English Literature,Brown University,2014,USA,14,3.5,Rhodes Scholar Finalist
Leonardo DiCaprio,Actor,High School,General,Los Angeles Center for Enriched Studies,1992,USA,N/A,N/A,Academy Award Winner
Michelle Obama,Lawyer/Author,Juris Doctor,Law,Harvard Law School,1988,USA,2,3.7,Magna Cum Laude
Stephen Hawking,Physicist,PhD,Physics,Cambridge University,1966,UK,3,N/A,Nobel Prize Physics
J.K. Rowling,Author,Bachelor,French/Classics,University of Exeter,1986,UK,161,02:02:00,Honorary Degree
Morgan Freeman,Actor,None,Drama,Los Angeles City College,N/A,USA,N/A,N/A,Kennedy Center Honor
Kamala Harris,Politician,Juris Doctor,Law,UC Hastings,1989,USA,62,N/A,Alpha Kappa Alpha
Jack Ma,Tech CEO,Bachelor,English,Hangzhou Normal University,1988,China,N/A,3.6,Honorary PhD
Marissa Mayer,Tech Executive,Master,Computer Science,Stanford University,1999,USA,4,3.9,National Merit Scholar
Neil deGrasse Tyson,Astrophysicist,PhD,Astrophysics,Columbia University,1991,USA,7,3.9,NASA Fellowship
Melinda Gates,Philanthropist,MBA,Business,Duke University,1987,USA,23,3.8,Fuqua Scholar
Richard Branson,Business Executive,High School,N/A,Stowe School,1968,UK,N/A,N/A,Honorary Degree
Susan Wojcicki,Tech CEO,Master,Economics,UC Santa Cruz,1993,USA,58,3.9,Phi Beta Kappa
Yo-Yo Ma,Musician,Bachelor,Liberal Arts,Harvard University,1976,USA,3,3.8,Presidential Medal of Freedom
Reed Hastings,Tech CEO,Master,Computer Science,Stanford University,1988,USA,4,3.7,Fulbright Scholar
MacKenzie Scott,Author/Philanthropist,Bachelor,English,Princeton University,1992,USA,6,3.9,Toni Morrison Thesis Prize
Jensen Huang,Tech CEO,Master,Electrical Engineering,Stanford University,1992,USA,4,3.8,Outstanding Graduate
Ursula von der Leyen,Politician,PhD,Medicine,Hannover Medical School,1991,Germany,122,N/A,Research Excellence Award
